iceberg_id,latitude,longitude,area_km2,confidence,timestamp,pixel_count,id,size_major_km,size_minor_km
IB_001,-65.98366,136.123995,15.4544,0.9561,2021-03-10 10:48:42,9659,IB_001,4.435893734091823,4.435893734091823
IB_002,-66.024175,136.039424,9.0816,0.9071,2021-03-10 10:48:42,5676,IB_002,3.4004488305908755,3.4004488305908755
IB_003,-66.089311,136.205681,2.9168,0.9186,2021-03-10 10:48:42,1823,IB_003,1.9271183420027744,1.9271183420027744
IB_004,-66.04945,136.193685,2.7536,0.9071,2021-03-10 10:48:42,1721,IB_004,1.872429547508462,1.872429547508462
IB_005,-65.995772,136.274136,2.6144,0.963,2021-03-10 10:48:42,1634,IB_005,1.8244882750392257,1.8244882750392257
IB_006,-65.976871,135.936047,2.3968,0.9709,2021-03-10 10:48:42,1498,IB_006,1.7469117152338403,1.7469117152338403
IB_007,-65.741429,136.252681,2.3152,0.9835,2021-03-10 10:48:42,1447,IB_007,1.7169170608887456,1.7169170608887456
IB_008,-65.964036,135.980254,2.2224,0.9631,2021-03-10 10:48:42,1389,IB_008,1.6821556302017437,1.6821556302017437
IB_009,-66.092788,136.119739,2.136,0.927,2021-03-10 10:48:42,1335,IB_009,1.6491330048101966,1.6491330048101966
IB_010,-66.04658,136.335952,1.9136,0.9382,2021-03-10 10:48:42,1196,IB_010,1.5609199828323064,1.5609199828323064
IB_011,-65.992838,135.947914,1.872,0.9645,2021-03-10 10:48:42,1170,IB_011,1.543860235819365,1.543860235819365
IB_012,-66.023673,135.91156,1.8624,0.976,2021-03-10 10:48:42,1164,IB_012,1.5398965316263191,1.5398965316263191
IB_013,-65.82485,135.465822,1.8336,0.9603,2021-03-10 10:48:42,1146,IB_013,1.5279437258048458,1.5279437258048458
IB_014,-66.070611,136.20677,1.6288,0.9219,2021-03-10 10:48:42,1018,IB_014,1.4400876954076904,1.4400876954076904
IB_015,-65.981124,136.030206,1.5744,0.975,2021-03-10 10:48:42,984,IB_015,1.4158348559175395,1.4158348559175395
IB_016,-66.034332,136.145167,1.5056,0.8766,2021-03-10 10:48:42,941,IB_016,1.3845538843083216,1.3845538843083216
IB_017,-65.994025,136.237151,1.4816,0.9345,2021-03-10 10:48:42,926,IB_017,1.3734743206480482,1.3734743206480482
IB_018,-65.854636,135.455715,1.4048,0.9733,2021-03-10 10:48:42,878,IB_018,1.3374030478670058,1.3374030478670058
IB_019,-66.033741,136.170737,1.3408,0.9442,2021-03-10 10:48:42,838,IB_019,1.306583170556282,1.306583170556282
IB_020,-65.85581,136.322501,1.3392,0.9436,2021-03-10 10:48:42,837,IB_020,1.3058033536139084,1.3058033536139084
IB_021,-65.737498,136.154333,1.2368,0.9689,2021-03-10 10:48:42,773,IB_021,1.2548875124601604,1.2548875124601604
IB_022,-65.731642,136.300137,1.136,0.9422,2021-03-10 10:48:42,710,IB_022,1.2026637613311315,1.2026637613311315
IB_023,-65.950339,136.47053,1.12,0.9659,2021-03-10 10:48:42,700,IB_023,1.1941642642883694,1.1941642642883694
IB_024,-66.019281,135.96592,1.072,0.9646,2021-03-10 10:48:42,670,IB_024,1.1682948223612457,1.1682948223612457
IB_025,-65.999579,135.914124,1.04,0.9541,2021-03-10 10:48:42,650,IB_025,1.1507254783503185,1.1507254783503185
IB_026,-65.972717,136.096165,1.0032,0.9706,2021-03-10 10:48:42,627,IB_026,1.1301831317438407,1.1301831317438407
IB_027,-66.110721,136.138607,0.9776,0.9332,2021-03-10 10:48:42,611,IB_027,1.1156697445629218,1.1156697445629218
IB_028,-66.003676,135.961919,0.9776,0.957,2021-03-10 10:48:42,611,IB_028,1.1156697445629218,1.1156697445629218
IB_029,-65.832701,136.69341,0.944,0.9724,2021-03-10 10:48:42,590,IB_029,1.0963293894765358,1.0963293894765358
IB_030,-66.041713,136.294108,0.928,0.8334,2021-03-10 10:48:42,580,IB_030,1.0869987569055592,1.0869987569055592
