cell_id,row,col,center_lat,center_lon,iceberg_risk,trajectory_risk,sea_ice_risk,uncertainty_risk,quality_risk,total_risk,no_go
0,0,0,-67.47499156318332,131.525,0.0,0.0,0.0,0.0,0.0028520389187460826,0.00014260194593730414,False
1,0,1,-67.47499156318332,131.57500000000005,0.0,0.0,0.0,0.0,0.0029445379652252397,0.000147226898261262,False
2,0,2,-67.47499156318332,131.62500000000003,0.0,0.0,0.0,0.0,0.003039451134726201,0.00015197255673631005,False
3,0,3,-67.47499156318332,131.67500000000004,0.0,0.0,0.0,0.0,0.00313680764510485,0.0001568403822552425,False
4,0,4,-67.47499156318332,131.72500000000005,0.0,0.0,0.0,0.0,0.003236634902852425,0.00016183174514262127,False
5,0,5,-67.47499156318332,131.77500000000003,0.0,0.0,0.0,0.0,0.0033389583382142903,0.00016694791691071454,False
6,0,6,-67.47499156318332,131.82500000000007,0.0,0.0,0.0,0.0,0.003443801234134845,0.00017219006170674227,False
7,0,7,-67.47499156318332,131.87500000000009,0.0,0.0,0.0,0.0,0.003551184549143903,0.00017755922745719515,False
8,0,8,-67.47499156318332,131.92500000000013,0.0,0.0,0.0,0.0,0.0036611267343380272,0.00018305633671690137,False
9,0,9,-67.47499156318332,131.9750000000001,0.0,0.0,0.0,0.0,0.003773643544651426,0.0001886821772325713,False
10,0,10,-67.47499156318332,132.02500000000012,0.0,0.0,0.0,0.0,0.0038887478446539736,0.00019443739223269868,False
11,0,11,-67.47499156318332,132.07500000000013,0.0,0.0,0.0,0.0,0.004006449409162628,0.0002003224704581314,False
12,0,12,-67.47499156318332,132.12500000000014,0.0,0.0,0.0,0.0,0.00412675471900071,0.00020633773595003552,False
13,0,13,-67.47499156318332,132.17500000000018,0.0,0.0,0.0,0.0,0.004249666752294233,0.00021248333761471165,False
14,0,14,-67.47499156318332,132.22500000000016,0.0,0.0,0.0,0.0,0.004380334476728759,0.000219016723836438,False
15,0,15,-67.47499156318332,132.2750000000002,0.0,0.0,0.0,0.0,0.004516428485935159,0.00022582142429675796,False
16,0,16,-67.47499156318332,132.3250000000002,0.0,0.0,0.0,0.0,0.004655679249225132,0.0002327839624612566,False
17,0,17,-67.47499156318332,132.37500000000023,0.0,0.0,0.0,0.0,0.00479809689342325,0.00023990484467116254,False
18,0,18,-67.47499156318332,132.4250000000002,0.0,0.0,0.0,0.0,0.004943687188643686,0.00024718435943218433,False
19,0,19,-67.47499156318332,132.47500000000022,0.0,0.0,0.0,0.0,0.005092451266937961,0.0002546225633468981,False
20,0,20,-67.47499156318332,132.52500000000026,0.0,0.0,0.0,0.0,0.005244385335303257,0.00026221926676516286,False
21,0,21,-67.47499156318332,132.57500000000024,0.0,0.0,0.0,0.0,0.005399480383770919,0.00026997401918854596,False
22,0,22,-67.47499156318332,132.62500000000028,0.0,0.0,0.0,0.0,0.005557721889390972,0.00027788609446954864,False
23,0,23,-67.47499156318332,132.67500000000027,0.0,0.0,0.0,0.0,0.005719089517022999,0.00028595447585115,False
24,0,24,-67.47499156318332,132.7250000000003,0.0,0.0,0.0,0.0,0.005883556817949307,0.0002941778408974654,False
25,0,25,-67.47499156318332,132.7750000000003,0.0,0.0,0.0,0.0,0.006051090927430301,0.0003025545463715151,False
26,0,26,-67.47499156318332,132.8250000000003,0.0,0.0,0.0,0.0,0.00622165226243264,0.00031108261312163204,False
27,0,27,-67.47499156318332,132.8750000000003,0.0,0.0,0.0,0.0,0.006395194220872514,0.0003197597110436257,False
28,0,28,-67.47499156318332,132.92500000000032,0.0,0.0,0.0,0.0,0.006571662883831494,0.0003285831441915747,False
29,0,29,-67.47499156318332,132.97500000000036,0.0,0.0,0.0,0.0,0.006750996722317365,0.0003375498361158683,False
30,0,30,-67.47499156318332,133.02500000000035,0.0,0.0,0.0,0.0,0.006933126310261383,0.00034665631551306916,False
31,0,31,-67.47499156318332,133.07500000000036,0.0,0.0,0.0,0.0,0.007117974045555863,0.00035589870227779316,False
32,0,32,-67.47499156318332,133.12500000000037,0.0,0.0,0.07640499018590952,0.0,0.007305453881054679,0.019466520240530114,False
33,0,33,-67.47499156318332,133.17500000000038,0.0,0.0,0.07700744564737448,0.0,0.007495471067568019,0.01962663496522202,False
34,0,34,-67.47499156318332,133.2250000000004,0.0,0.0,0.07763029148947978,0.0,0.0076879219109929195,0.019791968967919592,False
35,0,35,-67.47499156318332,133.27500000000038,0.0,0.0,0.07827397698561793,0.0,0.007882693545822557,0.01996262892369561,False
36,0,36,-67.47499156318332,133.32500000000041,0.0,0.0,0.07891127881293773,0.0,0.008079663727371468,0.020131802889603007,False
37,0,37,-67.47499156318332,133.37500000000043,0.0,0.0,0.0795411924186033,0.0,0.00827870064514224,0.020299233136907936,False
38,0,38,-67.47499156318332,133.42500000000044,0.0,0.0,0.08019084397367482,0.0,0.008479662759832494,0.02047169413141033,False
39,0,39,-67.47499156318332,133.47500000000045,0.0,0.0,0.08086055964048693,0.0,0.008682398666545901,0.020649259843449026,False
40,0,40,-67.47499156318332,133.52500000000046,0.0,0.0,0.0815506518471105,0.0,0.008886746986816482,0.020832000311118447,False
41,0,41,-67.47499156318332,133.57500000000047,0.0,0.0,0.08226141744357061,0.0,0.009092536292090378,0.021019981175497172,False
42,0,42,-67.47499156318332,133.62500000000045,0.0,0.0,0.08299313576154693,0.0,0.009299585061316768,0.021213263193452573,False
43,0,43,-67.47499156318332,133.6750000000005,0.0,0.0,0.08374606657898408,0.0,0.009507701675297924,0.021411901728510915,False
44,0,44,-67.47499156318332,133.7250000000005,0.0,0.0,0.08449293714811187,0.0,0.009716684450407452,0.02160906850954834,False
45,0,45,-67.47499156318332,133.77500000000055,0.0,0.0,0.08521407373882285,0.0,0.009926321714238134,0.02179983452041762,False
46,0,46,-67.47499156318332,133.82500000000053,0.0,0.0,0.08595450735316398,0.0,0.010136391925649099,0.021995446434573452,False
47,0,47,-67.47499156318332,133.87500000000054,0.0,0.0,0.17501199550045018,0.0,0.010346663841572559,0.04427033206719117,False
48,0,48,-67.47499156318332,133.92500000000055,0.0,0.0,0.17630825723116858,0.0,0.010556896732793182,0.044604909144431805,False
49,0,49,-67.47499156318332,133.97500000000056,0.0,0.0,0.17763707947325125,0.0,0.010766840650739011,0.04494761190084976,False
50,0,50,-67.47499156318332,134.0250000000006,0.0,0.0,0.17899844236382634,0.0,0.010976236747109652,0.045298422428312064,False
51,0,51,-67.47499156318332,134.07500000000059,0.0,0.0,0.26518695345535526,0.0,0.011184817647924348,0.06685597924623503,False
52,0,52,-67.47499156318332,134.12500000000063,0.0,0.0,0.2670626569782179,0.0,0.011392307883291496,0.06733527963871905,False
53,0,53,-67.47499156318332,134.1750000000006,0.0,0.0,0.2688821073445168,0.0,0.011598424373886574,0.06780044805482352,False
54,0,54,-67.47499156318332,134.22500000000062,0.0,0.0,0.2705965440649375,0.0,0.011802876974775126,0.06823927986497313,False
55,0,55,-67.47499156318332,134.27500000000063,0.0,0.0,0.27234311369880504,0.0,0.012005369076835175,0.06868604687854302,False
56,0,56,-67.47499156318332,134.32500000000064,0.0,0.0,0.2741210986404036,0.0,0.012205598265614834,0.06914055457338165,False
57,0,57,-67.47499156318332,134.37500000000065,0.0,0.0,0.27589364436307534,0.0,0.012403257037019286,0.0695935739426198,False
58,0,58,-67.47499156318332,134.42500000000067,0.0,0.0,0.2776734037872329,0.0,0.012598033568743528,0.07004825262524539,False
59,0,59,-67.47499156318332,134.4750000000007,0.0,0.0,0.3466504304271012,0.0,0.01278961254587258,0.08730208823406893,False
60,0,60,-67.47499156318332,134.5250000000007,0.0,0.0,0.3484107925971365,0.0,0.0129776760385536,0.0877515819512118,False
61,0,61,-67.47499156318332,134.5750000000007,0.0,0.0,0.3501953718103446,0.0,0.013161904429110766,0.08820693817404168,False
62,0,62,-67.47499156318332,134.6250000000007,0.0,0.0,0.3520029911065786,0.0,0.013341977385434052,0.08866784664591636,False
63,0,63,-67.47499156318332,134.67500000000072,0.0,0.0,0.3538324020547135,0.0,0.013517574876924475,0.0891339792575246,False
64,0,64,-67.47499156318332,134.72500000000076,0.0,0.0,0.3556822860315774,0.0,0.013688378228737374,0.08960499041933122,False
65,0,65,-67.47499156318332,134.77500000000074,0.0,0.0,0.43936633849543577,0.0,0.013854071209533823,0.11053428818433564,False
66,0,66,-67.47499156318332,134.82500000000078,0.0,0.0,0.4408674430118873,0.0,0.014014341147430914,0.11091757781034337,False
67,0,67,-67.47499156318332,134.87500000000077,0.0,0.0,0.4423821764420335,0.0,0.014168880068351548,0.11130398811392594,False
68,0,68,-67.47499156318332,134.92500000000078,0.0,0.0,0.44390929180525807,0.0,0.014317385850522585,0.11169319224384064,False
69,0,69,-67.47499156318332,134.9750000000008,0.0,0.0,0.4454474957333866,0.0,0.01445956338844201,0.11208485210276875,False
70,0,70,-67.47499156318332,135.02500000000077,0.0,0.0,0.4469954509773541,0.0,0.01459512575927879,0.11247861903230247,False
71,0,71,-67.47499156318332,135.0750000000008,0.0,0.0,0.4485517791565897,0.0,0.014723795384348924,0.11287413455836488,False
72,0,72,-67.47499156318332,135.12500000000082,0.0,0.0,0.5321947808170813,0.0,0.01484530517806364,0.13379096046317349,False
73,0,73,-67.47499156318332,135.17500000000086,0.0,0.0,0.5334372412702043,0.0,0.014959399676569847,0.13410728030137958,False
74,0,74,-67.47499156318332,135.22500000000085,0.0,0.0,0.5879251455476031,0.0,0.01506583613819363,0.14773457819381047,False
75,0,75,-67.47499156318332,135.2750000000009,0.0,0.0,0.5883117411186218,0.0,0.015196702473604082,0.14783777040333565,False
76,0,76,-67.47499156318332,135.32500000000087,0.0,0.0,0.5886990949701287,0.0,0.015346683614613015,0.14794210792326284,False
77,0,77,-67.47499156318332,135.37500000000088,0.0,0.0,0.5890867013889013,0.0,0.015489574426816456,0.14804615406856614,False
78,0,78,-67.47499156318332,135.4250000000009,0.0,0.0,0.5894740423724425,0.0,0.015625079915667417,0.148149764588894,False
79,0,79,-67.47499156318332,135.4750000000009,0.0,0.0,0.5898605895227366,0.0,0.015752916507182177,0.14825279320604326,False
80,0,80,-67.47499156318332,135.52500000000092,0.0,0.0,0.5902458060790561,0.0,0.0158728132582867,0.14835509218267837,False
81,0,81,-67.47499156318332,135.57500000000093,0.0,0.0,0.5906291490781834,0.0,0.015984513035528412,0.14845651292132228,False
82,0,82,-67.47499156318332,135.62500000000097,0.0,0.0,0.5910100716283949,0.0,0.016087773653580655,0.14855690658977777,False
83,0,83,-67.47499156318332,135.67500000000095,0.0,0.0,0.591388025281591,0.0,0.016182368965039457,0.1486561247686497,False
84,0,84,-67.47499156318332,135.72500000000096,0.0,0.0,0.5917624624861315,0.0,0.016268089893196908,0.14875402011619274,False
85,0,85,-67.47499156318332,135.77500000000097,0.0,0.0,0.656842014893401,0.0,0.016344745399731093,0.1650277409933368,False
86,0,86,-67.47499156318332,135.82500000000095,0.0,0.0,0.6566905350611086,0.0,0.016412163379628263,0.16499324193425857,False
